"sa2_code","date","hour","count","seasonal","trend","normalised_count","cluster_id"
324200,2018-01-31,11,1335,-567.9872725541504,1902.9872725541504,1335,1.0
324200,2018-01-31,12,1323,-548.2867945220606,1871.2867945220603,1323,1.0
324200,2018-01-31,13,1281,-515.9023716768799,1796.9023716768795,1281,1.0
324200,2018-01-31,14,1269,-528.1848635007941,1797.184863500794,1269,1.0
324200,2018-01-31,15,1254,-593.0641638256307,1847.0641638256309,1254,1.0
324200,2018-01-31,16,1230,-657.2703313656457,1887.2703313656457,1230,1.0
324200,2018-01-31,17,1254,-649.9892026587037,1903.9892026587036,1254,1.0
324200,2018-01-31,18,1290,-524.5554187092581,1814.555418709258,1290,1.0
324200,2018-01-31,19,1551,-271.37057273152686,1822.3705727315269,1551,1.0
324200,2018-01-31,20,1932,67.66638730041808,1864.333612699582,1932,1.0
324200,2018-01-31,21,2256,431.8135811258565,1824.1864188741436,2256,1.0
324200,2018-01-31,22,2628,769.7430104202793,1858.2569895797203,2628,1.0
324200,2018-01-31,23,2838,1027.653737632757,1810.346262367243,2838,1.0
324200,2018-02-01,0,3063,1159.0091068297656,1903.9908931702344,3063,1.0
324200,2018-02-01,1,2955,1140.858402398503,1814.141597601497,2955,1.0
324200,2018-02-01,2,2856,1013.1691200074708,1842.8308799925296,2856,1.0
324200,2018-02-01,3,2754,849.0872891520032,1904.9127108479968,2754,1.0
324200,2018-02-01,4,2541,712.7331936429531,1828.2668063570468,2541,1.0
324200,2018-02-01,5,2406,620.6981479167671,1785.301852083233,2406,1.0
324200,2018-02-01,6,2316,523.4101816434692,1792.589818356531,2316,1.0
324200,2018-02-01,7,2319,347.85760287691966,1971.1423971230804,2319,1.0
324200,2018-02-01,8,1908,67.77163817158653,1840.2283618284137,1908,1.0
324200,2018-02-01,9,1503,-250.8342919709129,1753.834291970913,1503,1.0
324200,2018-02-01,10,1377,-505.1026675138846,1882.1026675138849,1377,1.0
324200,2018-02-01,11,1242,-631.7313170297581,1873.731317029758,1242,1.0
324200,2018-02-01,12,1224,-638.2448611351822,1862.2448611351824,1224,1.0
324200,2018-02-01,13,1215,-594.570328690236,1809.570328690236,1215,1.0
324200,2018-02-01,14,1236,-574.7115251042294,1810.7115251042296,1236,1.0
324200,2018-02-01,15,1239,-601.9251501145598,1840.92515011456,1239,1.0
324200,2018-02-01,16,1236,-640.300115761701,1876.300115761701,1236,1.0
324200,2018-02-01,17,1257,-631.334200748638,1888.334200748638,1257,1.0
324200,2018-02-01,18,1275,-530.1057654953984,1805.1057654953984,1275,1.0
324200,2018-02-01,19,1503,-317.60924136003104,1820.609241360031,1503,1.0
324200,2018-02-01,20,1857,-4.634044382385293,1861.6340443823856,1857,1.0
324200,2018-02-01,21,2253,374.3100968770662,1878.689903122934,2253,1.0
324200,2018-02-01,22,2541,762.6528064004192,1778.3471935995808,2541,1.0
324200,2018-02-01,23,2904,1085.5273692904498,1818.4726307095505,2904,1.0
324200,2018-02-02,0,3210,1266.0725917576876,1943.9274082423124,3210,1.0
324200,2018-02-02,1,3135,1270.3318863770558,1864.668113622944,3135,1.0
324200,2018-02-02,2,2925,1140.447119822978,1784.552880177022,2925,1.0
