"sa2_code","date","hour","count","seasonal","trend","normalised_count","cluster_id"
250700,2018-01-31,11,6828,-1531.9901141224204,8359.99011412242,6828,1.0
250700,2018-01-31,12,6780,-1479.3265371575533,8259.326537157553,6780,1.0
250700,2018-01-31,13,6732,-1472.3681667257354,8204.368166725735,6732,1.0
250700,2018-01-31,14,6669,-1628.364752087406,8297.364752087406,6669,1.0
250700,2018-01-31,15,6645,-1948.0247849074465,8593.024784907446,6645,1.0
250700,2018-01-31,16,6729,-2071.740699148507,8800.740699148508,6729,1.0
250700,2018-01-31,17,7200,-1250.5499584610768,8450.549958461077,7200,1.0
250700,2018-01-31,18,8919,966.4139964130518,7952.586003586948,8919,1.0
250700,2018-01-31,19,12954,3980.6355160781495,8973.36448392185,12954,1.0
250700,2018-01-31,20,15177,6470.79967599754,8706.20032400246,15177,2.0
250700,2018-01-31,21,15705,7750.470553096728,7954.529446903272,15705,2.0
250700,2018-01-31,22,16203,8090.389755971489,8112.610244028511,16203,2.0
250700,2018-01-31,23,16629,8092.32603052729,8536.673969472711,16629,2.0
250700,2018-02-01,0,16848,8164.012999475636,8683.987000524365,16848,2.0
250700,2018-02-01,1,16794,8377.283758879486,8416.716241120514,16794,2.0
250700,2018-02-01,2,16650,8410.219425924062,8239.780574075938,16650,2.0
250700,2018-02-01,3,16230,7669.723611139898,8560.276388860102,16230,2.0
250700,2018-02-01,4,14658,5898.3462837924,8759.6537162076,14658,2.0
250700,2018-02-01,5,11985,3684.8980801237312,8300.10191987627,11985,2.0
250700,2018-02-01,6,10461,1984.7183446607692,8476.281655339231,10461,2.0
250700,2018-02-01,7,9663,1119.3577143817956,8543.642285618203,9663,2.0
250700,2018-02-01,8,8928,675.6938751863916,8252.30612481361,8928,2.0
250700,2018-02-01,9,8631,214.25033461915692,8416.749665380843,8631,2.0
250700,2018-02-01,10,8277,-346.2732048027519,8623.273204802752,8277,2.0
250700,2018-02-01,11,7008,-935.1803008040335,7943.180300804033,7008,2.0
250700,2018-02-01,12,6960,-1479.2444182743136,8439.244418274313,6960,2.0
250700,2018-02-01,13,6960,-1870.7575464308857,8830.757546430887,6960,2.0
